No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,%AKP
398,7271,Kota Palu,Sulawesi Tengah,2021,169
399,7301,Kabupaten Selayar,Sulawesi Selatan,2021,188.2
400,7302,Kabupaten Bulukumba,Sulawesi Selatan,2021,181.7
401,7303,Kabupaten Bantaeng,Sulawesi Selatan,2021,179.4
402,7304,Kabupaten Jeneponto,Sulawesi Selatan,2021,188.8
403,7305,Kabupaten Takalar,Sulawesi Selatan,2021,193.4
404,7306,Kabupaten Gowa,Sulawesi Selatan,2021,183.5
405,7307,Kabupaten Sinjai,Sulawesi Selatan,2021,176.7
406,7309,Kabupaten Maros,Sulawesi Selatan,2021,186.9
407,7310,Kabupaten Pangkajene dan Kepulauan,Sulawesi Selatan,2021,218.6
408,7311,Kabupaten Barru,Sulawesi Selatan,2021,173.5
409,7308,Kabupaten Bone,Sulawesi Selatan,2021,158.7
410,7312,Kabupaten Soppeng,Sulawesi Selatan,2021,172
411,7313,Kabupaten Wajo,Sulawesi Selatan,2021,172.9
412,7314,Kabupaten Sidenreng Rappang,Sulawesi Selatan,2021,163.9
413,7315,Kabupaten Pinrang,Sulawesi Selatan,2021,166.5
414,7316,Kabupaten Enrekang,Sulawesi Selatan,2021,175.7
415,7317,Kabupaten Luwu,Sulawesi Selatan,2021,176
