No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,Konsumsi_Protein
361,6409,Kabupaten Penajam Paser Utara,Kalimantan Timur,2021,63.1
362,6411,Kabupaten Mahakam Ulu,Kalimantan Timur,2021,57.3
363,6471,Kota Balikpapan,Kalimantan Timur,2021,65.6
364,6472,Kota Samarinda,Kalimantan Timur,2021,57.7
365,6474,Kota Bontang,Kalimantan Timur,2021,68.9
366,6502,Kabupaten Malinau,Kalimantan Utara,2021,55.3
367,6501,Kabupaten Bulungan,Kalimantan Utara,2021,64.8
368,6504,Kabupaten Tana Tidung,Kalimantan Utara,2021,62.1
369,6503,Kabupaten Nunukan,Kalimantan Utara,2021,60.8
370,6571,Kota Tarakan,Kalimantan Utara,2021,71.8
371,7101,Kabupaten Bolaang Mongondow,Sulawesi Utara,2021,61.4
372,7102,Kabupaten Minahasa,Sulawesi Utara,2021,66.7
373,7103,Kabupaten Kepulauan Sangihe,Sulawesi Utara,2021,56.9
374,7104,Kabupaten Kepulauan Talaud,Sulawesi Utara,2021,54.6
375,7105,Kabupaten Minahasa Selatan,Sulawesi Utara,2021,70.7
376,7106,Kabupaten Minahasa Utara,Sulawesi Utara,2021,68.7
377,7108,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,2021,60.2
378,7109,Kabupaten Kep. Siau Tagulandang Biaro,Sulawesi Utara,2021,46.6
379,7107,Kabupaten Minahasa Tenggara,Sulawesi Utara,2021,68.7
380,7111,Kabupaten Bolaang Mongondow Selatan,Sulawesi Utara,2021,54.6
381,7110,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,2021,62.3
382,7171,Kota Manado,Sulawesi Utara,2021,61.4
383,7172,Kota Bitung,Sulawesi Utara,2021,66.7
384,7173,Kota Tomohon,Sulawesi Utara,2021,70.5
385,7174,Kota Kotamobago,Sulawesi Utara,2021,61.7
386,7207,Kabupaten Banggai Kepulauan,Sulawesi Tengah,2021,52.9
387,7201,Kabupaten Banggai,Sulawesi Tengah,2021,57.1
388,7206,Kabupaten Morowali,Sulawesi Tengah,2021,64.4
389,7202,Kabupaten Poso,Sulawesi Tengah,2021,60
390,7203,Kabupaten Donggala,Sulawesi Tengah,2021,54.1
391,7204,Kabupaten Toli-Toli,Sulawesi Tengah,2021,49.8
392,7205,Kabupaten Buol,Sulawesi Tengah,2021,47.3
393,7208,Kabupaten Parigi Moutong,Sulawesi Tengah,2021,54.9
394,7209,Kabupaten Tojo Una-Una,Sulawesi Tengah,2021,48.5
395,7210,Kabupaten Sigi,Sulawesi Tengah,2021,60.2
396,7211,Kabupaten Banggai Laut,Sulawesi Tengah,2021,56.8
397,7212,Kabupaten Morowali Utara,Sulawesi Tengah,2021,69.1
